zip,county_name
44396,Summit
44398,Summit
44401,Mahoning
44402,Trumbull
44403,Trumbull
44404,Trumbull
44405,Mahoning
44406,Mahoning
44408,Columbiana
44410,Trumbull
44411,Portage
44412,Portage
44413,Columbiana
44415,Columbiana
44416,Mahoning
44417,Trumbull
44418,Trumbull
44420,Trumbull
44422,Mahoning
44423,Columbiana
44424,Trumbull
44425,Trumbull
44427,Carroll
44428,Trumbull
44429,Mahoning
44430,Trumbull
44431,Columbiana
44432,Columbiana
44436,Mahoning
44437,Trumbull
44438,Trumbull
44439,Trumbull
44440,Trumbull
44441,Columbiana
44442,Mahoning
44443,Mahoning
44444,Trumbull
44445,Columbiana
44446,Trumbull
44449,Mahoning
44450,Trumbull
44451,Mahoning
44452,Mahoning
44453,Trumbull
44454,Mahoning
44455,Columbiana
44460,Columbiana
44470,Trumbull
44471,Mahoning
44473,Trumbull
44481,Trumbull
44482,Trumbull
44483,Trumbull
44484,Trumbull
44485,Trumbull
44486,Trumbull
44490,Columbiana
44491,Trumbull
44492,Columbiana
44493,Columbiana
44501,Mahoning
44502,Mahoning
44503,Mahoning
44504,Mahoning
44505,Mahoning
44506,Mahoning
44507,Mahoning
44509,Mahoning
44510,Mahoning
44511,Mahoning
44512,Mahoning
44513,Mahoning
44514,Mahoning
44515,Mahoning
44555,Mahoning
44601,Stark
44606,Wayne
44607,Carroll
44608,Stark
44609,Mahoning
44610,Holmes
44611,Holmes
44612,Tuscarawas
44613,Stark
44614,Stark
44615,Carroll
44617,Holmes
44618,Wayne
44619,Mahoning
44620,Carroll
44621,Tuscarawas
44622,Tuscarawas
44624,Holmes
44625,Columbiana
44626,Stark
44627,Holmes
44628,Holmes
44629,Tuscarawas
44630,Stark
44632,Stark
44633,Holmes
44634,Columbiana
44636,Wayne
44637,Holmes
44638,Holmes
44639,Carroll
44640,Stark
44641,Stark
44643,Carroll
44644,Carroll
44645,Wayne
44646,Stark
44647,Stark
44648,Stark
44650,Stark
44651,Carroll
44652,Stark
44653,Tuscarawas
44654,Holmes
44656,Tuscarawas
44657,Carroll
44659,Wayne
44660,Holmes
44661,Holmes
44662,Stark
44663,Tuscarawas
44665,Columbiana
44666,Stark
44667,Wayne
44669,Stark
44670,Stark
44671,Tuscarawas
44672,Mahoning
44675,Carroll
44676,Wayne
44677,Wayne
44678,Tuscarawas
44679,Tuscarawas
44680,Tuscarawas
44681,Tuscarawas
44682,Tuscarawas
44683,Tuscarawas
44685,Summit
44687,Holmes
44688,Stark
44689,Holmes
44690,Holmes
44691,Wayne
44693,Harrison
44695,Carroll
44697,Tuscarawas
44699,Harrison
44701,Stark
44702,Stark
44703,Stark
44704,Stark
44705,Stark
44706,Stark
44707,Stark
44708,Stark
44709,Stark
44710,Stark
44711,Stark
44714,Stark
44718,Stark
44720,Stark
44721,Stark
44730,Stark
44735,Stark
44750,Stark
44767,Stark
44799,Stark
44802,Seneca
44804,Hancock
44805,Ashland
44807,Seneca
44809,Seneca
44811,Huron
44813,Richland
44814,Erie
44815,Seneca
44816,Erie
44817,Wood
44818,Seneca
44820,Crawford
44822,Knox
44824,Erie
44825,Crawford
44826,Huron
44827,Crawford
44828,Seneca
44830,Seneca
44833,Morrow
44836,Seneca
44837,Huron
44838,Ashland
44839,Erie
44840,Ashland
44841,Seneca
44842,Ashland
44843,Richland
44844,Wyandot
44845,Seneca
44846,Erie
44847,Huron
44848,Ashland
44849,Wyandot
44850,Huron
44851,Huron
44853,Seneca
44854,Crawford
44855,Huron
44856,Crawford
44857,Huron
44859,Ashland
44860,Crawford
44861,Seneca
44862,Richland
44864,Ashland
44865,Huron
44866,Ashland
44867,Seneca
44870,Erie
44871,Erie
44874,Ashland
44875,Richland
44878,Richland
44880,Ashland
44881,Crawford
44882,Wyandot
44883,Seneca
44887,Crawford
44888,Huron
44889,Huron
44890,Huron
44901,Richland
44902,Richland
44903,Richland
44904,Richland
44905,Richland
44906,Richland
44907,Richland
45001,Hamilton
45002,Hamilton
45003,Preble
45004,Butler
45005,Warren
45011,Butler
45012,Butler
45013,Butler
45014,Butler
45015,Butler
45018,Butler
45030,Hamilton
45032,Warren
45033,Hamilton
45034,Warren
45036,Warren
45039,Warren
45040,Warren
45041,Hamilton
45042,Butler
45044,Butler
45050,Butler
45051,Hamilton
45052,Hamilton
45053,Butler
45054,Warren
45055,Butler
45056,Butler
45061,Butler
45062,Butler
45063,Butler
45064,Butler
45065,Warren
45066,Warren
45067,Butler
45068,Warren
45069,Butler
45070,Preble
45071,Butler
45101,Brown
45102,Clermont
45103,Clermont
45105,Adams
45106,Clermont
45107,Clinton
45111,Hamilton
45112,Clermont
45113,Clinton
45114,Clinton
45115,Brown
45118,Brown
45119,Brown
45120,Clermont
45121,Brown
45122,Clermont
45123,Highland
45130,Brown
45131,Brown
45132,Highland
45133,Highland
45135,Highland
45140,Clermont
45142,Highland
45144,Adams
45146,Clinton
45147,Clermont
45148,Clinton
45150,Clermont
45152,Warren
45153,Clermont
45154,Brown
45155,Highland
45156,Clermont
45157,Clermont
45158,Clermont
45159,Clinton
45160,Clermont
45162,Warren
45164,Clinton
45166,Clinton
45167,Brown
45168,Brown
45169,Clinton
45171,Brown
45172,Highland
45174,Hamilton
45176,Clermont
45177,Clinton
45201,Hamilton
45202,Hamilton
45203,Hamilton
45204,Hamilton
45205,Hamilton
45206,Hamilton
45207,Hamilton
45208,Hamilton
45209,Hamilton
45211,Hamilton
45212,Hamilton
45213,Hamilton
45214,Hamilton
45215,Hamilton
45216,Hamilton
45217,Hamilton
45218,Hamilton
45219,Hamilton
45220,Hamilton
45221,Hamilton
45222,Hamilton
45223,Hamilton
45224,Hamilton
45225,Hamilton
45226,Hamilton
45227,Hamilton
45229,Hamilton
45230,Hamilton
45231,Hamilton
45232,Hamilton
45233,Hamilton
45234,Hamilton
45235,Hamilton
45236,Hamilton
45237,Hamilton
45238,Hamilton
45239,Hamilton
45240,Hamilton
45241,Butler
